9,3,263~9,5,263
8,6,291~8,9,291
5,9,169~8,9,169
0,5,138~0,7,138
0,3,80~0,6,80
2,1,147~4,1,147
8,5,212~8,5,214
2,0,298~4,0,298
9,7,64~9,9,64
4,0,207~7,0,207
5,7,211~5,8,211
5,0,227~7,0,227
7,6,152~7,9,152
5,4,320~8,4,320
0,0,135~1,0,135
0,0,235~0,1,235
0,7,223~1,7,223
7,5,213~7,6,213
2,0,153~2,2,153
5,7,29~5,9,29
0,5,313~0,8,313
3,4,317~5,4,317
4,6,21~6,6,21
4,0,210~7,0,210
5,1,77~8,1,77
8,4,138~8,8,138
6,6,111~6,8,111
3,2,306~3,5,306
6,6,143~6,8,143
5,8,182~7,8,182
4,1,267~6,1,267
2,3,43~2,5,43
0,2,84~0,2,86
6,3,253~7,3,253
5,5,308~6,5,308
5,2,237~7,2,237
0,3,52~0,4,52
2,5,45~2,7,45
0,2,229~0,4,229
5,2,83~7,2,83
8,5,180~8,7,180
0,9,84~0,9,86
6,2,345~6,5,345
8,1,199~8,3,199
9,0,171~9,2,171
6,1,11~9,1,11
1,0,270~2,0,270
4,5,154~4,7,154
7,3,106~7,6,106
5,1,312~5,3,312
7,6,20~7,8,20
6,5,175~8,5,175
2,1,171~5,1,171
0,4,206~2,4,206
6,9,150~9,9,150
4,0,73~4,3,73
2,5,274~4,5,274
6,3,223~6,4,223
2,2,15~3,2,15
7,9,147~8,9,147
1,0,222~4,0,222
5,6,268~5,8,268
6,5,241~6,5,243
4,3,320~4,5,320
1,7,14~1,9,14
9,0,196~9,0,196
5,1,177~7,1,177
5,8,291~6,8,291
4,6,4~4,7,4
3,1,225~3,4,225
3,3,155~3,5,155
8,1,110~8,3,110
9,6,22~9,6,25
8,6,293~8,6,297
8,8,241~8,8,243
1,1,131~1,3,131
5,4,229~5,6,229
1,4,185~3,4,185
1,1,133~4,1,133
4,2,196~4,4,196
1,4,209~1,5,209
9,5,208~9,7,208
5,2,35~7,2,35
3,6,98~6,6,98
5,8,131~7,8,131
2,2,294~2,5,294
4,2,296~4,3,296
4,7,264~6,7,264
2,3,286~4,3,286
0,1,87~0,2,87
3,7,120~4,7,120
7,5,177~7,7,177
5,3,37~5,6,37
4,8,305~4,9,305
8,5,178~8,7,178
4,6,201~6,6,201
8,6,28~8,8,28
3,2,33~5,2,33
7,0,116~9,0,116
0,0,304~2,0,304
